order_number,product_key,customer_key,customer_id,order_date,shipping_date,due_date,Sales_amount,quantity,price
SO43724,16,5521,16520,1/4/2011 00:00,1/11/2011 00:00,1/16/2011 00:00,3578,1,3578
SO43725,16,2259,13258,1/5/2011 00:00,1/12/2011 00:00,1/17/2011 00:00,3578,1,3578
SO43726,39,3561,14560,1/5/2011 00:00,1/12/2011 00:00,1/17/2011 00:00,699,1,699
SO43727,16,5608,16607,1/5/2011 00:00,1/12/2011 00:00,1/17/2011 00:00,3578,1,3578
SO43728,18,16667,27666,1/6/2011 00:00,1/13/2011 00:00,1/18/2011 00:00,3578,1,3578
SO43729,9,239,11238,1/6/2011 00:00,1/13/2011 00:00,1/18/2011 00:00,3400,1,3400
SO43730,9,14862,25861,1/6/2011 00:00,1/13/2011 00:00,1/18/2011 00:00,3400,1,3400
SO43731,19,5630,16629,1/6/2011 00:00,1/13/2011 00:00,1/18/2011 00:00,3578,1,3578
SO43732,5,26,11025,1/6/2011 00:00,1/13/2011 00:00,1/18/2011 00:00,3375,1,3375
SO43733,17,16578,27577,1/6/2011 00:00,1/13/2011 00:00,1/18/2011 00:00,3578,1,3578
SO43734,17,16605,27604,1/7/2011 00:00,1/14/2011 00:00,1/19/2011 00:00,3578,1,3578
SO43735,20,5523,16522,1/7/2011 00:00,1/14/2011 00:00,1/19/2011 00:00,3578,1,3578
SO43736,9,3,11002,1/7/2011 00:00,1/14/2011 00:00,1/19/2011 00:00,3400,1,3400
SO43737,16,2262,13261,1/8/2011 00:00,1/15/2011 00:00,1/20/2011 00:00,3578,1,3578
SO43738,17,607,11606,1/8/2011 00:00,1/15/2011 00:00,1/20/2011 00:00,3578,1,3578
SO43739,20,2564,13563,1/8/2011 00:00,1/15/2011 00:00,1/20/2011 00:00,3578,1,3578
SO43740,17,5528,16527,1/8/2011 00:00,1/15/2011 00:00,1/20/2011 00:00,3578,1,3578
SO43741,20,16672,27671,1/9/2011 00:00,1/16/2011 00:00,1/21/2011 00:00,3578,1,3578
SO43742,19,2577,13576,1/9/2011 00:00,1/16/2011 00:00,1/21/2011 00:00,3578,1,3578
SO43743,10,8,11007,1/9/2011 00:00,1/16/2011 00:00,1/21/2011 00:00,3400,1,3400
SO43744,18,5632,16631,1/9/2011 00:00,1/16/2011 00:00,1/21/2011 00:00,3578,1,3578
SO43745,16,5515,16514,1/10/2011 00:00,1/17/2011 00:00,1/22/2011 00:00,3578,1,3578
SO43746,17,5617,16616,1/10/2011 00:00,1/17/2011 00:00,1/22/2011 00:00,3578,1,3578
SO43747,19,16624,27623,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43748,18,16626,27625,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43749,19,16637,27636,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43750,16,592,11591,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43751,18,593,11592,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43752,16,2266,13265,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43753,20,5483,16482,1/11/2011 00:00,1/18/2011 00:00,1/23/2011 00:00,3578,1,3578
SO43754,17,16618,27617,1/12/2011 00:00,1/19/2011 00:00,1/24/2011 00:00,3578,1,3578
SO43755,16,16671,27670,1/12/2011 00:00,1/19/2011 00:00,1/24/2011 00:00,3578,1,3578
SO43756,39,8942,19941,1/12/2011 00:00,1/19/2011 00:00,1/24/2011 00:00,699,1,699
SO43757,5,18,11017,1/12/2011 00:00,1/19/2011 00:00,1/24/2011 00:00,3375,1,3375
SO43758,20,16647,27646,1/13/2011 00:00,1/20/2011 00:00,1/25/2011 00:00,3578,1,3578
SO43759,20,2258,13257,1/13/2011 00:00,1/20/2011 00:00,1/25/2011 00:00,3578,1,3578
SO43760,19,5353,16352,1/13/2011 00:00,1/20/2011 00:00,1/25/2011 00:00,3578,1,3578
SO43761,20,5494,16493,1/13/2011 00:00,1/20/2011 00:00,1/25/2011 00:00,3578,1,3578
SO43762,19,16579,27578,1/14/2011 00:00,1/21/2011 00:00,1/26/2011 00:00,3578,1,3578
SO43763,18,5526,16525,1/14/2011 00:00,1/21/2011 00:00,1/26/2011 00:00,3578,1,3578
SO43764,20,5613,16612,1/14/2011 00:00,1/21/2011 00:00,1/26/2011 00:00,3578,1,3578
SO43765,9,11,11010,1/14/2011 00:00,1/21/2011 00:00,1/26/2011 00:00,3400,1,3400
SO43766,18,5519,16518,1/15/2011 00:00,1/22/2011 00:00,1/27/2011 00:00,3578,1,3578
SO43767,5,2,11001,1/15/2011 00:00,1/22/2011 00:00,1/27/2011 00:00,3375,1,3375
SO43768,17,16650,27649,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3578,1,3578
SO43769,17,10660,21659,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3578,1,3578
SO43770,17,16615,27614,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3578,1,3578
SO43771,44,3560,14559,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,699,1,699
SO43772,17,5525,16524,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3578,1,3578
SO43773,19,5527,16526,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3578,1,3578
SO43774,18,5349,16348,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3578,1,3578
SO43775,10,28,11027,1/16/2011 00:00,1/23/2011 00:00,1/28/2011 00:00,3400,1,3400
SO43776,19,2261,13260,1/17/2011 00:00,1/24/2011 00:00,1/29/2011 00:00,3578,1,3578
SO43777,16,5516,16515,1/17/2011 00:00,1/24/2011 00:00,1/29/2011 00:00,3578,1,3578
SO43778,8,19,11018,1/17/2011 00:00,1/24/2011 00:00,1/29/2011 00:00,3400,1,3400
SO43779,42,14253,25252,1/17/2011 00:00,1/24/2011 00:00,1/29/2011 00:00,699,1,699
SO43780,16,600,11599,1/18/2011 00:00,1/25/2011 00:00,1/30/2011 00:00,3578,1,3578
SO43781,17,5496,16495,1/18/2011 00:00,1/25/2011 00:00,1/30/2011 00:00,3578,1,3578
SO43782,17,5517,16516,1/18/2011 00:00,1/25/2011 00:00,1/30/2011 00:00,3578,1,3578
SO43783,17,5621,16620,1/18/2011 00:00,1/25/2011 00:00,1/30/2011 00:00,3578,1,3578
SO43784,20,16668,27667,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3578,1,3578
SO43785,16,602,11601,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3578,1,3578
SO43786,16,608,11607,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3578,1,3578
SO43787,7,18386,29385,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3400,1,3400
SO43788,6,240,11239,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3375,1,3375
SO43789,6,14866,25865,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3375,1,3375
SO43790,7,14858,25857,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3400,1,3400
SO43791,19,5485,16484,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3578,1,3578
SO43792,17,5624,16623,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3578,1,3578
SO43793,7,1,11000,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3400,1,3400
SO43794,10,30,11029,1/19/2011 00:00,1/26/2011 00:00,1/31/2011 00:00,3400,1,3400
SO43795,17,16616,27615,1/20/2011 00:00,1/27/2011 00:00,2/1/2011 00:00,3578,1,3578
SO43796,38,6957,17956,1/20/2011 00:00,1/27/2011 00:00,2/1/2011 00:00,699,1,699
SO43797,17,5346,16345,1/20/2011 00:00,1/27/2011 00:00,2/1/2011 00:00,3578,1,3578
SO43798,20,5522,16521,1/20/2011 00:00,1/27/2011 00:00,2/1/2011 00:00,3578,1,3578
SO43799,17,5637,16636,1/20/2011 00:00,1/27/2011 00:00,2/1/2011 00:00,3578,1,3578
SO43800,16,10711,21710,1/21/2011 00:00,1/28/2011 00:00,2/2/2011 00:00,3578,1,3578
SO43801,16,2584,13583,1/21/2011 00:00,1/28/2011 00:00,2/2/2011 00:00,3578,1,3578
SO43802,17,594,11593,1/21/2011 00:00,1/28/2011 00:00,2/2/2011 00:00,3578,1,3578
SO43803,19,10742,21741,1/22/2011 00:00,1/29/2011 00:00,2/3/2011 00:00,3578,1,3578
SO43804,20,2586,13585,1/22/2011 00:00,1/29/2011 00:00,2/3/2011 00:00,3578,1,3578
SO43805,43,3511,14510,1/22/2011 00:00,1/29/2011 00:00,2/3/2011 00:00,699,1,699
SO43806,17,5524,16523,1/22/2011 00:00,1/29/2011 00:00,2/3/2011 00:00,3578,1,3578
SO43807,17,612,11611,1/23/2011 00:00,1/30/2011 00:00,2/4/2011 00:00,3578,1,3578
SO43808,18,2260,13259,1/23/2011 00:00,1/30/2011 00:00,2/4/2011 00:00,3578,1,3578
SO43809,20,5351,16350,1/23/2011 00:00,1/30/2011 00:00,2/4/2011 00:00,3578,1,3578
SO43810,8,5,11004,1/23/2011 00:00,1/30/2011 00:00,2/4/2011 00:00,3400,1,3400
SO43811,9,27,11026,1/23/2011 00:00,1/30/2011 00:00,2/4/2011 00:00,3400,1,3400
SO43812,17,16663,27662,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3578,1,3578
SO43813,5,17391,28390,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3375,1,3375
SO43814,5,14867,25866,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3375,1,3375
SO43815,16,5495,16494,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3578,1,3578
SO43816,19,5497,16496,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3578,1,3578
SO43817,20,5520,16519,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3578,1,3578
SO43818,17,5529,16528,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3578,1,3578
SO43819,9,7,11006,1/24/2011 00:00,1/31/2011 00:00,2/5/2011 00:00,3400,1,3400
SO43820,17,16652,27651,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,3578,1,3578
SO43821,20,16664,27663,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,3578,1,3578
SO43822,18,16670,27669,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,3578,1,3578
SO43823,38,8943,19942,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,699,1,699
SO43824,36,3559,14558,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,699,1,699
SO43825,18,5350,16349,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,3578,1,3578
SO43826,3,9,11008,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,3375,1,3375
SO43827,36,14251,25250,1/25/2011 00:00,2/1/2011 00:00,2/6/2011 00:00,699,1,699
SO43828,20,16606,27605,1/26/2011 00:00,2/2/2011 00:00,2/7/2011 00:00,3578,1,3578
SO43829,20,16612,27611,1/26/2011 00:00,2/2/2011 00:00,2/7/2011 00:00,3578,1,3578
SO43830,16,5348,16347,1/26/2011 00:00,2/2/2011 00:00,2/7/2011 00:00,3578,1,3578
SO43831,4,29,11028,1/26/2011 00:00,2/2/2011 00:00,2/7/2011 00:00,3375,1,3375
SO43832,20,2585,13584,1/26/2011 00:00,2/2/2011 00:00,2/7/2011 00:00,3578,1,3578
SO43833,20,10728,21727,1/27/2011 00:00,2/3/2011 00:00,2/8/2011 00:00,3578,1,3578
SO43834,3,17394,28393,1/27/2011 00:00,2/3/2011 00:00,2/8/2011 00:00,3375,1,3375
SO43835,3,8803,19802,1/27/2011 00:00,2/3/2011 00:00,2/8/2011 00:00,3375,1,3375
SO43836,47,15621,26620,1/27/2011 00:00,2/3/2011 00:00,2/8/2011 00:00,699,1,699
SO43837,5,10,11009,1/27/2011 00:00,2/3/2011 00:00,2/8/2011 00:00,3375,1,3375
SO43838,18,16642,27641,1/28/2011 00:00,2/4/2011 00:00,2/9/2011 00:00,3578,1,3578
SO43839,16,16674,27673,1/28/2011 00:00,2/4/2011 00:00,2/9/2011 00:00,3578,1,3578
SO43840,42,6958,17957,1/28/2011 00:00,2/4/2011 00:00,2/9/2011 00:00,699,1,699
SO43841,19,2407,13406,1/28/2011 00:00,2/4/2011 00:00,2/9/2011 00:00,3578,1,3578
SO43842,17,5631,16630,1/28/2011 00:00,2/4/2011 00:00,2/9/2011 00:00,3578,1,3578
SO43918,18,11042,22041,1/29/2011 00:00,2/5/2011 00:00,2/10/2011 00:00,3578,1,3578
SO43919,19,1125,12124,1/29/2011 00:00,2/5/2011 00:00,2/10/2011 00:00,3578,1,3578
SO43920,18,17067,28066,1/29/2011 00:00,2/5/2011 00:00,2/10/2011 00:00,3578,1,3578
SO43921,18,5744,16743,1/29/2011 00:00,2/5/2011 00:00,2/10/2011 00:00,3578,1,3578
SO43922,20,2547,13546,1/29/2011 00:00,2/5/2011 00:00,2/10/2011 00:00,3578,1,3578
SO43923,17,17019,28018,1/30/2011 00:00,2/6/2011 00:00,2/11/2011 00:00,3578,1,3578
SO43924,20,1133,12132,1/30/2011 00:00,2/6/2011 00:00,2/11/2011 00:00,3578,1,3578
SO43925,19,5662,16661,1/30/2011 00:00,2/6/2011 00:00,2/11/2011 00:00,3578,1,3578
SO43926,6,56,11055,1/31/2011 00:00,2/7/2011 00:00,2/12/2011 00:00,3375,1,3375
SO43927,19,5663,16662,1/31/2011 00:00,2/7/2011 00:00,2/12/2011 00:00,3578,1,3578
SO43928,18,5741,16740,1/31/2011 00:00,2/7/2011 00:00,2/12/2011 00:00,3578,1,3578
SO43929,46,14271,25270,1/31/2011 00:00,2/7/2011 00:00,2/12/2011 00:00,699,1,699
SO43930,17,17039,28038,2/1/2011 00:00,2/8/2011 00:00,2/13/2011 00:00,3578,1,3578
SO43931,18,2549,13548,2/1/2011 00:00,2/8/2011 00:00,2/13/2011 00:00,3578,1,3578
SO43932,19,5742,16741,2/1/2011 00:00,2/8/2011 00:00,2/13/2011 00:00,3578,1,3578
SO43933,10,32,11031,2/1/2011 00:00,2/8/2011 00:00,2/13/2011 00:00,3400,1,3400
SO43934,9,35,11034,2/1/2011 00:00,2/8/2011 00:00,2/13/2011 00:00,3400,1,3400
SO43935,40,9049,20048,2/2/2011 00:00,2/9/2011 00:00,2/14/2011 00:00,699,1,699
SO43936,16,17066,28065,2/2/2011 00:00,2/9/2011 00:00,2/14/2011 00:00,3578,1,3578
SO43937,17,6048,17047,2/2/2011 00:00,2/9/2011 00:00,2/14/2011 00:00,3578,1,3578
SO43938,20,5687,16686,2/2/2011 00:00,2/9/2011 00:00,2/14/2011 00:00,3578,1,3578
SO43939,17,5660,16659,2/2/2011 00:00,2/9/2011 00:00,2/14/2011 00:00,3578,1,3578
SO43940,41,14295,25294,2/2/2011 00:00,2/9/2011 00:00,2/14/2011 00:00,699,1,699
SO43941,19,2601,13600,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3578,1,3578
SO43942,20,6052,17051,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3578,1,3578
SO43943,36,3566,14565,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,699,1,699
SO43944,7,55,11054,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3400,1,3400
SO43945,20,5676,16675,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3578,1,3578
SO43946,18,5688,16687,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3578,1,3578
SO43947,20,5713,16712,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3578,1,3578
SO43948,8,48,11047,2/3/2011 00:00,2/10/2011 00:00,2/15/2011 00:00,3400,1,3400
SO43949,20,16727,27726,2/4/2011 00:00,2/11/2011 00:00,2/16/2011 00:00,3578,1,3578
SO43950,16,17015,28014,2/4/2011 00:00,2/11/2011 00:00,2/16/2011 00:00,3578,1,3578
SO43951,16,5697,16696,2/4/2011 00:00,2/11/2011 00:00,2/16/2011 00:00,3578,1,3578
SO43952,17,5640,16639,2/4/2011 00:00,2/11/2011 00:00,2/16/2011 00:00,3578,1,3578
SO43953,38,9050,20049,2/5/2011 00:00,2/12/2011 00:00,2/17/2011 00:00,699,1,699
SO43954,16,2603,13602,2/5/2011 00:00,2/12/2011 00:00,2/17/2011 00:00,3578,1,3578
SO43955,19,2662,13661,2/5/2011 00:00,2/12/2011 00:00,2/17/2011 00:00,3578,1,3578
SO43956,7,31,11030,2/5/2011 00:00,2/12/2011 00:00,2/17/2011 00:00,3400,1,3400
SO43957,18,17069,28068,2/6/2011 00:00,2/13/2011 00:00,2/18/2011 00:00,3578,1,3578
SO43958,17,5659,16658,2/6/2011 00:00,2/13/2011 00:00,2/18/2011 00:00,3578,1,3578
SO43959,3,36,11035,2/6/2011 00:00,2/13/2011 00:00,2/18/2011 00:00,3375,1,3375
SO43960,4,47,11046,2/6/2011 00:00,2/13/2011 00:00,2/18/2011 00:00,3375,1,3375
SO43961,16,17032,28031,2/7/2011 00:00,2/14/2011 00:00,2/19/2011 00:00,3578,1,3578
SO43962,17,17077,28076,2/7/2011 00:00,2/14/2011 00:00,2/19/2011 00:00,3578,1,3578
SO43963,19,5686,16685,2/7/2011 00:00,2/14/2011 00:00,2/19/2011 00:00,3578,1,3578
SO43964,17,5746,16745,2/7/2011 00:00,2/14/2011 00:00,2/19/2011 00:00,3578,1,3578
SO43965,6,39,11038,2/7/2011 00:00,2/14/2011 00:00,2/19/2011 00:00,3375,1,3375
SO43966,10,40,11039,2/7/2011 00:00,2/14/2011 00:00,2/19/2011 00:00,3400,1,3400
SO43967,18,17041,28040,2/8/2011 00:00,2/15/2011 00:00,2/20/2011 00:00,3578,1,3578
SO43968,18,17068,28067,2/8/2011 00:00,2/15/2011 00:00,2/20/2011 00:00,3578,1,3578
SO43969,20,17072,28071,2/8/2011 00:00,2/15/2011 00:00,2/20/2011 00:00,3578,1,3578
SO43970,16,5685,16684,2/8/2011 00:00,2/15/2011 00:00,2/20/2011 00:00,3578,1,3578
SO43971,19,5658,16657,2/8/2011 00:00,2/15/2011 00:00,2/20/2011 00:00,3578,1,3578
SO43972,19,10940,21939,2/9/2011 00:00,2/16/2011 00:00,2/21/2011 00:00,3578,1,3578
SO43973,17,17040,28039,2/9/2011 00:00,2/16/2011 00:00,2/21/2011 00:00,3578,1,3578
SO43974,17,2688,13687,2/9/2011 00:00,2/16/2011 00:00,2/21/2011 00:00,3578,1,3578
SO43975,17,2541,13540,2/9/2011 00:00,2/16/2011 00:00,2/21/2011 00:00,3578,1,3578
SO43976,20,17064,28063,2/9/2011 00:00,2/16/2011 00:00,2/21/2011 00:00,3578,1,3578
SO43977,17,5704,16703,2/9/2011 00:00,2/16/2011 00:00,2/21/2011 00:00,3578,1,3578
SO43978,20,17031,28030,2/10/2011 00:00,2/17/2011 00:00,2/22/2011 00:00,3578,1,3578
SO43979,46,3577,14576,2/10/2011 00:00,2/17/2011 00:00,2/22/2011 00:00,699,1,699
SO43980,6,49,11048,2/10/2011 00:00,2/17/2011 00:00,2/22/2011 00:00,3375,1,3375
SO43981,19,5665,16664,2/10/2011 00:00,2/17/2011 00:00,2/22/2011 00:00,3578,1,3578
SO43982,38,14272,25271,2/10/2011 00:00,2/17/2011 00:00,2/22/2011 00:00,699,1,699
SO43983,19,17018,28017,2/11/2011 00:00,2/18/2011 00:00,2/23/2011 00:00,3578,1,3578
SO43984,16,2546,13545,2/11/2011 00:00,2/18/2011 00:00,2/23/2011 00:00,3578,1,3578
SO43985,18,2516,13515,2/11/2011 00:00,2/18/2011 00:00,2/23/2011 00:00,3578,1,3578
SO43986,20,17071,28070,2/11/2011 00:00,2/18/2011 00:00,2/23/2011 00:00,3578,1,3578
SO43987,20,17043,28042,2/12/2011 00:00,2/19/2011 00:00,2/24/2011 00:00,3578,1,3578
SO43988,7,245,11244,2/12/2011 00:00,2/19/2011 00:00,2/24/2011 00:00,3400,1,3400
SO43989,17,17084,28083,2/12/2011 00:00,2/19/2011 00:00,2/24/2011 00:00,3578,1,3578
SO43990,7,14873,25872,2/12/2011 00:00,2/19/2011 00:00,2/24/2011 00:00,3400,1,3400
SO43991,20,5661,16660,2/12/2011 00:00,2/19/2011 00:00,2/24/2011 00:00,3578,1,3578
SO43992,16,5639,16638,2/12/2011 00:00,2/19/2011 00:00,2/24/2011 00:00,3578,1,3578
SO43993,19,5930,16929,2/14/2011 00:00,2/21/2011 00:00,2/26/2011 00:00,3578,1,3578
SO43994,19,16682,27681,2/15/2011 00:00,2/22/2011 00:00,2/27/2011 00:00,3578,1,3578
SO43995,17,10814,21813,2/15/2011 00:00,2/22/2011 00:00,2/27/2011 00:00,3578,1,3578
SO43996,20,16921,27920,2/15/2011 00:00,2/22/2011 00:00,2/27/2011 00:00,3578,1,3578
SO43997,20,17023,28022,2/15/2011 00:00,2/22/2011 00:00,2/27/2011 00:00,3578,1,3578
SO43998,3,34,11033,2/15/2011 00:00,2/22/2011 00:00,2/27/2011 00:00,3375,1,3375
SO43999,16,17048,28047,2/15/2011 00:00,2/22/2011 00:00,2/27/2011 00:00,3578,1,3578
SO44000,16,16919,27918,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,3578,1,3578
SO44001,18,17045,28044,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,3578,1,3578
SO44002,41,3573,14572,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,699,1,699
SO44003,38,8326,19325,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,699,1,699
SO44004,20,17062,28061,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,3578,1,3578
SO44005,40,15630,26629,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,699,1,699
SO44006,20,5745,16744,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,3578,1,3578
SO44007,45,14556,25555,2/16/2011 00:00,2/23/2011 00:00,2/28/2011 00:00,699,1,699
SO44008,17,16679,27678,2/17/2011 00:00,2/24/2011 00:00,3/1/2011 00:00,3578,1,3578
SO44009,19,16760,27759,2/17/2011 00:00,2/24/2011 00:00,3/1/2011 00:00,3578,1,3578
SO44010,20,2681,13680,2/17/2011 00:00,2/24/2011 00:00,3/1/2011 00:00,3578,1,3578
SO44011,20,2515,13514,2/17/2011 00:00,2/24/2011 00:00,3/1/2011 00:00,3578,1,3578
SO44012,4,53,11052,2/17/2011 00:00,2/24/2011 00:00,3/1/2011 00:00,3375,1,3375
SO44013,17,5929,16928,2/17/2011 00:00,2/24/2011 00:00,3/1/2011 00:00,3578,1,3578
SO44014,18,16918,27917,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3578,1,3578
SO44015,16,2694,13693,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3578,1,3578
SO44016,5,248,11247,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3375,1,3375
SO44017,20,17079,28078,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3578,1,3578
SO44018,5,14877,25876,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3375,1,3375
SO44019,20,5702,16701,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3578,1,3578
SO44020,16,5932,16931,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3578,1,3578
SO44021,3,33,11032,2/18/2011 00:00,2/25/2011 00:00,3/2/2011 00:00,3375,1,3375
SO44022,18,11009,22008,2/19/2011 00:00,2/26/2011 00:00,3/3/2011 00:00,3578,1,3578
SO44023,4,8831,19830,2/19/2011 00:00,2/26/2011 00:00,3/3/2011 00:00,3375,1,3375
SO44024,19,5664,16663,2/19/2011 00:00,2/26/2011 00:00,3/3/2011 00:00,3578,1,3578
SO44025,19,5709,16708,2/19/2011 00:00,2/26/2011 00:00,3/3/2011 00:00,3578,1,3578
SO44026,20,6046,17045,2/19/2011 00:00,2/26/2011 00:00,3/3/2011 00:00,3578,1,3578
SO44027,20,10922,21921,2/20/2011 00:00,2/27/2011 00:00,3/4/2011 00:00,3578,1,3578
SO44028,17,6049,17048,2/20/2011 00:00,2/27/2011 00:00,3/4/2011 00:00,3578,1,3578
SO44029,5,51,11050,2/20/2011 00:00,2/27/2011 00:00,3/4/2011 00:00,3375,1,3375
SO44030,16,1132,12131,2/21/2011 00:00,2/28/2011 00:00,3/5/2011 00:00,3578,1,3578
